lull trust,betray loyalty,cajole compliance
ostrich bird,ostrich bird,cub bear
word language,poetry rhythm,word language
coop poultry,coop poultry,coop poultry
legend map,figure blueprint,bar graph
billboard advertisement,library book,store window
custom society,ballot election,testimony trial
tunnel mine,aisle seat,conduit fluid
diversion boredom,diversion boredom,reward deed
thicket shrubs,thicket shrubs,orchard apples
condescending respect,insecure doubt,bashful attention
livid anger,forlorn hope,graceful posture
fathom depth,overflow capacity,appraise value
remuneration labor,pledge donation,trophy victory
tutor pupil,patron client,tutor pupil
decorate plain,mend repaired,create talented
pallid color,vital energy,pallid color
drift move,boil heat,sprint run
crass refinement,inept mistake,inept mistake
pariah ostracism,pariah ostracism,scapegoat symbol
audience theater,group society,spectators arena
quart volume,day night,decade century
cartographer maps,cartographer maps,curator artworks
abrasive skin,soluble water,corrosive iron
canal waterway,dam river,hub wheel
throng people,picnic woods,game players
foolhardy recklessness,defiant complacency,serene tranquillity
neighbor proximity,adversary opposition,supervisor obedience
heckler disconcert,firebrand soothe,firebrand soothe
veer course,emigrate travel,blaze paint
reveler merrymaking,disputant argument,demagogue emotion
malinger work,hide discovery,accuse crime
shove nudge,calm quell,shove nudge
barley grain,knot rope,vine fruit
locomotive train,horse saddle,rudder rowboat
abridge novel,interrupt conversation,abridge novel
chief hierarchy,lawyer court,president term
wing air,cloud sky,wing air
condense short,measure equal,condense short
orator speech,chronicler events,chronicler events
jubilation joy,security instability,jubilation joy
dingy building,devastated city,devastated city
rangers forest,panel contest,members board
stimulant activity,stimulant activity,symptom disease
paramount importance,modulated pitch,modulated pitch
raucous sound,noisy uproar,raucous sound
tourniquet bleeding,splint movement,splint movement
cloying sweetness,raspy softness,enchanting desire
perfidious treachery,truculent temperament,perfidious treachery
corroborate claim,promise advancement,promise advancement
lubricant slide,battery discharge,battery discharge
stomp walk,stomp walk,run scamper
index topics,agenda meeting,index topics
prudent indiscretion,frugal wastefulness,prudent indiscretion
viscous flow,stationary stop,viscous flow
map navigate,manuscript submit,manuscript submit
skull head,skull head,heart organ
accomplice crime,employer work,employer work
barricade access,bind movement,demand due
ensemble dancer,band musician,clique outsider
consider contemplate,examine scrutinize,smile greet
congeal solid,breathe air,melt liquid
shear wool,reap wheat,shear wool
epilogue book,tiff quarrel,tiff quarrel
glutton moderation,scoundrel virtue,scoundrel virtue
affectation behavior,affectation behavior,affectation behavior
exhortation urge,travesty reproduce,eulogy praise
cooperation collusion,achievement reward,achievement reward
gaze observer,banish exile,hear listener
odometer distance,decibel loudness,microscope size
copyright book,patent design,franchise license
feign deceive,feign deceive,contract lengthen
ethos values,debate opinions,debate opinions
torpid sluggish,refracted direct,refracted direct
ruler line,ruler line,ruler line
catnap sleep,exhaustion slumber,snack meal
manager store,student school,student school
wallet money,camera film,camera film
lubricate smoothly,assist grudgingly,weigh heavily
bird avian,meat carnivorous,bird avian
irrational logic,unrealistic understanding,illegible erasure
constellation stars,map boundaries,map boundaries
calculator compute,saddle straddle,bridge suspend
extravagant spend,belligerent fight,remarkable surprise
architect blueprint,painter brush,graduate diploma
weave fabric,illustrate manual,illustrate manual
testimony witness,testimony witness,proof theorist
criterion judgment,edge sharpness,edge sharpness
abbreviation word,paragraph book,paragraph book
avaricious greed,choleric anger,choleric anger
animosity hatred,pacify peace,insomnia sleepy
mason stone,photograph camera,carpenter wood
precarious stability,mean gauge,precarious stability
binomial name,octagon eight,octagon eight
amplifier ear,computer brain,amplifier ear
opaque transparent,proud arrogant,gaunt rotund
rife singular,round square,sharp pointed
